Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW,acidgas_Fv,H2S,SO2OUT,H2SOUT,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S,acidgas_CO2,acidgas_H2O,acidgas_H2S
63,OK,,180.0,81.34451121,4.71798165,137.222222,123.6,2434.312968,53.671507,0.013082482,3.19329795,0.020094593,0.000170483,83.6,1.6722,0.020265076,0.285675,0.323196,0.391128
64,OK,,180.0,81.34451121,4.71798165,138.333333,123.6,2454.024002,54.1060941,0.009388769,3.6185375,0.022682081,0.000121685,83.6,1.6722,0.022803766,0.285675,0.323196,0.391128
65,OK,,180.0,81.34451121,4.71798165,139.444444,123.6,2473.735036,54.5406812,0.006842839,4.06529544,0.025381472,8.82e-05,83.6,1.6722,0.025469675,0.285675,0.323196,0.391128
66,OK,,180.0,81.34451121,4.71798165,140.555556,123.6,2493.446088,54.9752683,0.005157718,4.49662825,0.027963974,6.61e-05,83.6,1.6722,0.028030094,0.285675,0.323196,0.391128
67,OK,,180.0,81.34451121,4.71798165,141.666667,123.6,2513.157123,55.4098554,0.003951535,4.93739619,0.030582839,5.04e-05,83.6,1.6722,0.03063322,0.285675,0.323196,0.391128
68,OK,,180.0,81.34451121,4.71798165,142.777778,123.6,2532.868157,55.8444425,0.003089899,5.36944086,0.033126968,3.92e-05,83.6,1.6722,0.033166149,0.285675,0.323196,0.391128
69,OK,,180.0,81.34451121,4.71798165,143.888889,123.6,2552.579191,56.2790296,0.002413768,5.82756431,0.035801926,3.04e-05,83.6,1.6722,0.035832355,0.285675,0.323196,0.391128
70,OK,,180.0,81.34451121,4.71798165,145.0,123.6,2572.290225,56.7136167,0.001948398,6.26545809,0.038343279,2.44e-05,83.6,1.6722,0.038367717,0.285675,0.323196,0.391128
71,OK,,180.0,86.45365397,5.01431193,135.0,123.6,2394.890899,52.8023328,0.033683358,2.22278129,0.014076437,0.000443314,83.6,1.6722,0.014519751,0.285675,0.323196,0.391128
72,OK,,180.0,86.45365397,5.01431193,136.111111,123.6,2414.601934,53.2369199,0.021450611,2.63920437,0.016650028,0.000280825,83.6,1.6722,0.016930853,0.285675,0.323196,0.391128
73,OK,,180.0,86.45365397,5.01431193,137.222222,123.6,2434.312968,53.671507,0.014869191,3.07144272,0.019301906,0.000193614,83.6,1.6722,0.01949552,0.285675,0.323196,0.391128
74,OK,,180.0,86.45365397,5.01431193,138.333333,123.6,2454.024002,54.1060941,0.010452627,3.5008667,0.021915122,0.000135368,83.6,1.6722,0.02205049,0.285675,0.323196,0.391128
75,OK,,180.0,86.45365397,5.01431193,139.444444,123.6,2473.735036,54.5406812,0.007621341,3.9383408,0.024556924,9.82e-05,83.6,1.6722,0.024655088,0.285675,0.323196,0.391128
76,OK,,180.0,86.45365397,5.01431193,140.555556,123.6,2493.446088,54.9752683,0.005725521,4.36734994,0.02712529,7.33e-05,83.6,1.6722,0.027198635,0.285675,0.323196,0.391128
77,OK,,180.0,86.45365397,5.01431193,141.666667,123.6,2513.157123,55.4098554,0.004301997,4.82352436,0.029834348,5.48e-05,83.6,1.6722,0.029889141,0.285675,0.323196,0.391128
78,OK,,180.0,86.45365397,5.01431193,142.777778,123.6,2532.868157,55.8444425,0.003353063,5.25696776,0.032390786,4.25e-05,83.6,1.6722,0.032433272,0.285675,0.323196,0.391128
79,OK,,180.0,86.45365397,5.01431193,143.888889,123.6,2552.579191,56.2790296,0.00264376,5.69623619,0.034957175,3.33e-05,83.6,1.6722,0.034990492,0.285675,0.323196,0.391128
80,OK,,180.0,86.45365397,5.01431193,145.0,123.6,2572.290225,56.7136167,0.002078803,6.14249556,0.03754391,2.61e-05,83.6,1.6722,0.037569965,0.285675,0.323196,0.391128
81,OK,,180.0,91.56279655,5.3106422,135.0,123.6,2394.890899,52.8023328,0.040081074,2.11738961,0.013390048,0.000527038,83.6,1.6722,0.013917086,0.285675,0.323196,0.391128
