Row/Case,Status,Description,T2 ,"AIR2 
","ACID_GAS
 
","AIRFLOW 




KMOL/HR 
","ACID_GAS 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
105,OK,,140,11.5533316,139,123.6,139,54.3668464,0.434363297,1.80763114,0.010936891,0.005470073,0.958761735,1.99940488,0.889208633
106,OK,,140,11.5533316,142,123.6,142,55.5402315,0.168998512,2.45551876,0.014734576,0.002108791,0.952745655,6.98721541,0.870422535
107,OK,,140,11.5533316,145,123.6,145,56.7136167,0.026695428,3.33232466,0.019814135,0.000329293,0.940772247,60.1717698,0.852413793
108,OK,,140,11.5533316,148,123.6,148,57.8870019,0.001574742,4.49015965,0.026429991,1.92E-05,0.92240513,1379.47847,0.835135135
109,Errors,,140,11.5533316,151,123.6,151,59.0603871,0.000969524,5.42136478,0.031207371,1.16E-05,0.908189997,2680.4364,0.818543046
110,OK,,140,11.5533316,154,123.6,154,60.2337722,0.000352972,6.89353654,0.039743262,4.18E-06,0.885547771,9518.56542,0.802597403
111,OK,,140,11.5533316,157,123.6,157,61.4071574,0.000210045,8.09886948,0.046205158,2.45E-06,0.868108542,18857.2582,0.787261146
112,OK,,140,11.5533316,160,123.6,160,62.5805426,0.001293477,9.30766708,0.052544038,1.49E-05,0.851248325,3530.94254,0.7725
113,OK,,140,12.0423789,121,123.6,121,47.3265353,3.31215382,0.337450912,0.002114417,0.042846392,0.922884599,0.049348771,1.0214876
114,OK,,140,12.0423789,124,123.6,124,48.4999205,2.77849471,0.433547329,0.002702122,0.035823696,0.93377222,0.075428333,0.996774194
115,OK,,140,12.0423789,127,123.6,127,49.6733057,2.25662778,0.562104429,0.003483686,0.028987938,0.943254588,0.120177091,0.973228346
116,OK,,140,12.0423789,130,123.6,130,50.8466908,1.75727343,0.734786863,0.004526718,0.022477493,0.950988742,0.201388913,0.950769231
117,OK,,140,12.0423789,133,123.6,133,52.020076,1.2897779,0.968679659,0.005929647,0.016415545,0.956584886,0.361221431,0.929323308
118,OK,,140,12.0423789,136,123.6,136,53.1934612,0.864177784,1.28178615,0.007792869,0.010933995,0.959657374,0.712719291,0.908823529
119,OK,,140,12.0423789,139,123.6,139,54.3668464,0.487968071,1.73781766,0.010483259,0.00612549,0.959059871,1.71141546,0.889208633
120,OK,,140,12.0423789,142,123.6,142,55.5402315,0.21439143,2.33356495,0.013969104,0.002669665,0.954124131,5.23252996,0.870422535
121,OK,,140,12.0423789,145,123.6,145,56.7136167,0.043627194,3.18126543,0.018873346,0.000537324,0.943137243,35.1246789,0.852413793
122,OK,,140,12.0423789,148,123.6,148,57.8870019,0.001792702,4.2847891,0.025169614,2.18E-05,0.925949148,1155.31712,0.835135135
123,OK,,140,12.0423789,151,123.6,151,59.0603871,0.000713855,5.47445337,0.031829877,8.55E-06,0.90729544,3721.03482,0.818543046
124,OK,,140,12.0423789,154,123.6,154,60.2337722,0.000406119,6.68023026,0.038439651,4.80E-06,0.889088195,8010.25142,0.802597403
125,OK,,140,12.0423789,157,123.6,157,61.4071574,0.000277204,7.88484433,0.044900365,3.23E-06,0.871592794,13899.7605,0.787261146
126,OK,,140,12.0423789,160,123.6,160,62.5805426,0.000149494,9.0858739,0.051200628,1.72E-06,0.854810728,29798.8689,0.7725
127,OK,,140,12.5314263,121,123.6,121,47.3265353,3.41355498,0.329408294,0.002057675,0.044010453,0.920911952,0.046754237,1.0214876
128,OK,,140,12.5314263,124,123.6,124,48.4999205,2.87509588,0.422509908,0.002625386,0.036949389,0.932008017,0.071053558,0.996774194
129,OK,,140,12.5314263,127,123.6,127,49.6733057,2.35471864,0.545219684,0.003369014,0.030150338,0.941619784,0.111740515,0.973228346
130,OK,,140,12.5314263,130,123.6,130,50.8466908,1.85447614,0.709278622,0.004356886,0.023645468,0.949578729,0.184258837,0.950769231
131,OK,,140,12.5314263,133,123.6,133,52.020076,1.37745531,0.933219156,0.005696494,0.017479375,0.955581102,0.325898026,0.929323308
132,OK,,140,12.5314263,136,123.6,136,53.1934612,0.941500008,1.23148423,0.007466708,0.011879615,0.959149411,0.628531132,0.908823529
133,OK,,140,12.5314263,139,123.6,139,54.3668464,0.566265534,1.64372369,0.009893958,0.007095659,0.959350425,1.39436774,0.889208633
134,OK,,140,12.5314263,142,123.6,142,55.5402315,0.259844514,2.23066725,0.013320451,0.003228928,0.955158419,4.12534754,0.870422535
135,OK,,140,12.5314263,145,123.6,145,56.7136167,0.069538178,3.01041396,0.017820381,0.000855043,0.945692899,20.8415051,0.852413793
136,OK,,140,12.5314263,148,123.6,148,57.8870019,0.002137673,4.0753316,0.023890669,2.59E-05,0.929561574,920.70008,0.835135135
137,OK,,140,12.5314263,151,123.6,151,59.0603871,0.000900317,5.2550003,0.030494344,1.08E-05,0.911008023,2829.70521,0.818543046
138,OK,,140,12.5314263,154,123.6,154,60.2337722,0.000465606,6.46318835,0.03711989,5.50E-06,0.892690534,6754.17847,0.802597403
