Row/Case,Status,Description,"T2     
","AIR2    
 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
",ACIDGAS ,"H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","CONV    





","R2      





","F1      





"
66,OK,,140,10.0861895,148,123.6,148,57.8870019,0.000454128,5.12791983,0.03036732,5.54E-06,0.911407159,5477.21603,0.835135135
67,OK,,140,10.0861895,151,123.6,151,59.0603871,0.000409355,6.33119371,0.037101423,4.93E-06,0.89279442,7530.10524,0.818543046
68,OK,,140,10.0861895,154,123.6,154,60.2337722,0.00023913,7.50944094,0.043546388,2.84E-06,0.875324427,15344.3718,0.802597403
69,OK,,140,10.0861895,157,123.6,157,61.4071574,0.000136665,8.83093868,0.050621149,1.60E-06,0.856188175,31697.4572,0.787261146
70,OK,,140,10.0861895,160,123.6,160,62.5805426,9.07E-05,9.98905984,0.056691,1.05E-06,0.840379291,54148.7982,0.7725
71,OK,,140,10.5752368,121,123.6,121,47.3265353,3.01345143,0.363622176,0.002299607,0.039375426,0.928643126,0.058402089,1.0214876
72,OK,,140,10.5752368,124,123.6,124,48.4999205,2.48693708,0.471091969,0.002962964,0.032381024,0.93900961,0.091503087,0.996774194
73,OK,,140,10.5752368,127,123.6,127,49.6733057,1.97583192,0.616290807,0.003853701,0.025624051,0.947816585,0.150393912,0.973228346
74,OK,,140,10.5752368,130,123.6,130,50.8466908,1.48975282,0.814171252,0.005059576,0.019231523,0.95468881,0.263087631,0.950769231
75,OK,,140,10.5752368,133,123.6,133,52.020076,1.04144061,1.08572432,0.006702417,0.013370988,0.959108769,0.50126569,0.929323308
76,OK,,140,10.5752368,136,123.6,136,53.1934612,0.649197874,1.44881748,0.008880315,0.008280132,0.960558774,1.07248476,0.908823529
77,OK,,140,10.5752368,139,123.6,139,54.3668464,0.31754589,1.98740669,0.012086184,0.004017921,0.95760371,3.00806885,0.889208633
78,OK,,140,10.5752368,142,123.6,142,55.5402315,0.093672035,2.72458295,0.016426599,0.001173369,0.949257414,13.9995114,0.870422535
79,OK,,140,10.5752368,145,123.6,145,56.7136167,0.004331035,3.72957813,0.022270298,5.36E-05,0.934162034,415.713708,0.852413793
80,OK,,140,10.5752368,148,123.6,148,57.8870019,0.001123389,4.92349518,0.029097334,1.37E-05,0.914927041,2124.02195,0.835135135
81,OK,,140,10.5752368,151,123.6,151,59.0603871,0.000410366,6.10987937,0.03573522,4.93E-06,0.896541658,7242.87062,0.818543046
82,OK,,140,10.5752368,154,123.6,154,60.2337722,0.000768913,7.39417059,0.042783541,9.11E-06,0.877229348,4694.18263,0.802597403
83,OK,,140,10.5752368,157,123.6,157,61.4071574,0.000163314,8.52450768,0.048815321,1.91E-06,0.861177893,25569.5544,0.787261146
84,OK,,140,10.5752368,160,123.6,160,62.5805426,0.000103845,9.74043846,0.055186282,1.20E-06,0.844351904,46097.4404,0.7725
85,OK,,140,11.0642842,121,123.6,121,47.3265353,3.11185272,0.354566129,0.002235418,0.040525903,0.92675528,0.055160234,1.0214876
86,OK,,140,11.0642842,124,123.6,124,48.4999205,2.58227043,0.458158601,0.002872893,0.033513254,0.937310639,0.085724078,0.996774194
87,OK,,140,11.0642842,127,123.6,127,49.6733057,2.06969364,0.596957547,0.003721729,0.026755834,0.946316212,0.139099714,0.973228346
88,OK,,140,11.0642842,130,123.6,130,50.8466908,1.57016372,0.789148059,0.004889937,0.02021054,0.953599502,0.241949831,0.950769231
89,OK,,140,11.0642842,133,123.6,133,52.020076,1.12319321,1.04395342,0.006426497,0.014378936,0.958340187,0.44693826,0.929323308
90,OK,,140,11.0642842,136,123.6,136,53.1934612,0.713011103,1.39513066,0.008528055,0.009070738,0.960368404,0.940172105,0.908823529
91,OK,,140,11.0642842,139,123.6,139,54.3668464,0.3746171,1.89368944,0.011486995,0.004728955,0.958277761,2.42907671,0.889208633
92,OK,,140,11.0642842,142,123.6,142,55.5402315,0.130045591,2.58060191,0.015521529,0.001625725,0.951194883,9.54744828,0.870422535
93,OK,,140,11.0642842,145,123.6,145,56.7136167,0.011519927,3.5471023,0.021135049,1.42E-04,0.937252772,148.522312,0.852413793
94,OK,,140,11.0642842,148,123.6,148,57.8870019,0.001821028,4.71234206,0.02779314,2.22E-05,0.918562666,1253.02407,0.835135135
95,OK,,140,11.0642842,151,123.6,151,59.0603871,0.000547602,5.90706785,0.034480134,6.58E-06,0.899973303,5242.98543,0.818543046
96,OK,,140,11.0642842,154,123.6,154,60.2337722,1.09E-05,7.10423514,0.041036845,1.29E-07,0.882055436,318608.448,0.802597403
97,OK,,140,11.0642842,157,123.6,157,61.4071574,0.000185432,8.30800291,0.047487461,2.17E-06,0.864703258,21929.9102,0.787261146
98,OK,,140,11.0642842,160,123.6,160,62.5805426,0.000116231,9.53562908,0.053924229,1.34E-06,0.847624439,40288.7213,0.7725
99,OK,,140,11.5533316,121,123.6,121,47.3265353,3.21274488,0.345679259,0.002172666,0.041699312,0.924811227,0.05210316,1.0214876
100,OK,,140,11.5533316,124,123.6,124,48.4999205,2.68117403,0.445344858,0.002784079,0.034682195,0.935535587,0.080274022,0.996774194
101,OK,,140,11.5533316,127,123.6,127,49.6733057,2.17522402,0.575974864,0.003580189,0.028025045,0.944614137,0.127749619,0.973228346
102,OK,,140,11.5533316,130,123.6,130,50.8466908,1.67222415,0.757830275,0.004682214,0.021453659,0.952208209,0.218247801,0.950769231
103,OK,,140,11.5533316,133,123.6,133,52.020076,1.20596504,1.00503632,0.006169563,0.015393801,0.957497152,0.400782302,0.929323308
104,OK,,140,11.5533316,136,123.6,136,53.1934612,0.788735445,1.33547067,0.008141343,0.010006756,0.960066405,0.813584689,0.908823529
105,OK,,140,11.5533316,139,123.6,139,54.3668464,0.43783723,1.80222293,0.010904263,0.005513528,0.958797313,1.97772897,0.889208633
106,OK,,140,11.5533316,142,123.6,142,55.5402315,0.170279458,2.45130968,0.014709458,0.00212474,0.952798376,6.92294644,0.870422535
107,OK,,140,11.5533316,145,123.6,145,56.7136167,0.026019308,3.34038619,0.01986165,0.000320953,0.940642024,61.8833882,0.852413793
108,OK,,140,11.5533316,148,123.6,148,57.8870019,0.001288776,4.50611372,0.026522225,1.57E-05,0.922134463,1691.54998,0.835135135
109,OK,,140,11.5533316,151,123.6,151,59.0603871,0.001105365,5.68365036,0.033111811,1.33E-05,0.903746724,2497.07276,0.818543046
110,OK,,140,11.5533316,154,123.6,154,60.2337722,0.000308928,6.91650644,0.039871327,3.65E-06,0.885167156,10911.8806,0.802597403
111,OK,,140,11.5533316,157,123.6,157,61.4071574,0.000210045,8.09886942,0.046205158,2.45E-06,0.868108543,18857.2572,0.787261146
112,OK,,140,11.5533316,160,123.6,160,62.5805426,8.00E-05,9.30609466,0.052536057,9.20E-07,0.851292842,57105.8523,0.7725
113,OK,,140,12.0423789,121,123.6,121,47.3265353,3.31050363,0.337647627,0.002115659,0.042826313,0.922915311,0.049400905,1.0214876
114,OK,,140,12.0423789,124,123.6,124,48.4999205,2.7781554,0.433603555,0.002702474,0.035819541,0.933778057,0.075446927,0.996774194
115,OK,,140,12.0423789,127,123.6,127,49.6733057,2.25913318,0.561514558,0.003480013,0.029018837,0.943216025,0.11992256,0.973228346
116,OK,,140,12.0423789,130,123.6,130,50.8466908,1.76113984,0.733460938,0.004518524,0.022525435,0.950938778,0.200596526,0.950769231
117,OK,,140,12.0423789,133,123.6,133,52.020076,1.29101977,0.968037962,0.005925713,0.016431003,0.956573348,0.360642169,0.929323308
118,OK,,140,12.0423789,136,123.6,136,53.1934612,0.863555649,1.28229329,0.007795951,0.010926235,0.959659535,0.713507535,0.908823529
119,OK,,140,12.0423789,139,123.6,139,54.3668464,0.495608818,1.7247817,0.010408769,0.006226255,0.959159108,1.67175423,0.889208633
120,OK,,140,12.0423789,142,123.6,142,55.5402315,0.21554789,2.33035698,0.013949996,0.002684024,0.954161069,5.19741893,0.870422535
121,OK,,140,12.0423789,145,123.6,145,56.7136167,0.044120764,3.17706752,0.018848646,0.000543402,0.943202559,34.6863975,0.852413793
122,OK,,140,12.0423789,148,123.6,148,57.8870019,0.001804479,4.27959737,0.025139477,2.19E-05,0.926038632,1146.39466,0.835135135
123,OK,,140,12.0423789,151,123.6,151,59.0603871,0.000930844,5.45623071,0.031726212,1.12E-05,0.907600308,2844.16344,0.818543046
124,OK,,140,12.0423789,154,123.6,154,60.2337722,0.000412344,6.6563539,0.038305116,4.87E-06,0.889484487,7861.35816,0.802597403
125,OK,,140,12.0423789,157,123.6,157,61.4071574,0.000277206,7.88484433,0.044900365,3.23E-06,0.871592794,13899.6805,0.787261146
126,OK,,140,12.0423789,160,123.6,160,62.5805426,0.000149498,9.08586424,0.051200575,1.72E-06,0.854810883,29798.0295,0.7725
127,OK,,140,12.5314263,121,123.6,121,47.3265353,3.41300408,0.329471174,0.002058071,0.044003798,0.920922264,0.046770303,1.0214876
128,OK,,140,12.5314263,124,123.6,124,48.4999205,2.87524398,0.422486467,0.002625239,0.036951199,0.932005446,0.07104611,0.996774194
129,OK,,140,12.5314263,127,123.6,127,49.6733057,2.35459198,0.545245122,0.003369181,0.030148647,0.941621822,0.111752296,0.973228346
130,OK,,140,12.5314263,130,123.6,130,50.8466908,1.85499041,0.709113002,0.004355866,0.023651815,0.949571873,0.184166236,0.950769231
131,OK,,140,12.5314263,133,123.6,133,52.020076,1.37943496,0.932266475,0.005690668,0.017503906,0.95556136,0.325108486,0.929323308
132,OK,,140,12.5314263,136,123.6,136,53.1934612,0.943025813,1.23033998,0.00745977,0.011898567,0.959142238,0.626946932,0.908823529
133,OK,,140,12.5314263,139,123.6,139,54.3668464,0.564658864,1.64573314,0.009906028,0.007075705,0.959343016,1.40000587,0.889208633
134,OK,,140,12.5314263,142,123.6,142,55.5402315,0.260257808,2.22966985,0.013314522,0.003234045,0.955168936,4.11698697,0.870422535
135,OK,,140,12.5314263,145,123.6,145,56.7136167,0.068472448,3.01712425,0.017859808,0.000841947,0.945593371,21.2125152,0.852413793
136,OK,,140,12.5314263,148,123.6,148,57.8870019,0.002112831,4.07723952,0.023901731,2.56E-05,0.929529044,931.958831,0.835135135
137,OK,,140,12.5314263,151,123.6,151,59.0603871,0.000874767,5.27442657,0.030605402,1.05E-05,0.910679533,2923.03164,0.818543046
138,OK,,140,12.5314263,154,123.6,154,60.2337722,0.000450236,6.504892,0.03734399,5.31E-06,0.891998426,7032.24324,0.802597403
139,OK,,140,12.5314263,157,123.6,157,61.4071574,0.000272869,7.66266334,0.043554807,3.18E-06,0.875211025,13711.5642,0.787261146
140,OK,,140,12.5314263,160,123.6,160,62.5805426,0.000938438,8.87495084,0.049920766,1.08E-05,0.858168547,4633.08748,0.7725
141,OK,,140,13.0204737,121,123.6,121,47.3265353,3.51516486,0.321764477,0.002003748,0.045168799,0.918926469,0.044361324,1.0214876
142,OK,,140,13.0204737,124,123.6,124,48.4999205,2.97463518,0.411638112,0.002550097,0.038103084,0.930179818,0.066926269,0.996774194
143,OK,,140,13.0204737,127,123.6,127,49.6733057,2.45035259,0.529909098,0.003264703,0.031274906,0.940002751,0.104387305,0.973228346
144,OK,,140,13.0204737,130,123.6,130,50.8466908,1.94715927,0.68694673,0.004207472,0.024750246,0.948195134,0.1699972,0.950769231
145,OK,,140,13.0204737,133,123.6,133,52.020076,1.46667099,0.899793238,0.005476948,0.018555638,0.954508636,0.295163538,0.929323308
146,OK,,140,13.0204737,136,123.6,136,53.1934612,1.02509987,1.1812159,0.007142378,0.012897519,0.958522801,0.553779224,0.908823529
147,OK,,140,13.0204737,139,123.6,139,54.3668464,0.635696151,1.57319533,0.009444709,0.007945281,0.959370616,1.18871937,0.889208633
148,OK,,140,13.0204737,142,123.6,142,55.5402315,0.3164903,2.1181804,0.012617867,0.003923931,0.956163836,3.21561867,0.870422535
149,OK,,140,13.0204737,145,123.6,145,56.7136167,0.097605972,2.87091181,0.016955633,0.001198096,0.947657759,14.1521539,0.852413793
150,OK,,140,13.0204737,148,123.6,148,57.8870019,0.005707243,3.86997794,0.022640398,6.92E-05,0.933047402,327.202346,0.835135135
151,OK,,140,13.0204737,151,123.6,151,59.0603871,0.001043377,5.05188093,0.029256982,1.25E-05,0.914444782,2345.2952,0.818543046
152,OK,,140,13.0204737,154,123.6,154,60.2337722,0.000569438,6.25043925,0.035828996,6.71E-06,0.896220866,5336.34366,0.802597403
153,OK,,140,13.0204737,157,123.6,157,61.4071574,0.000308884,7.4523071,0.042279396,3.59E-06,0.878636037,11770.5856,0.787261146
154,OK,,140,13.0204737,160,123.6,160,62.5805426,0.000192379,8.64283944,0.048527093,2.21E-06,0.861889471,21991.917,0.7725
155,OK,,140,13.5095211,121,123.6,121,47.3265353,3.61250177,0.314958997,0.001955367,0.046268015,0.917013558,0.042261751,1.0214876
156,OK,,140,13.5095211,124,123.6,124,48.4999205,3.07315415,0.40151056,0.00247985,0.039236712,0.928357311,0.063202286,0.996774194
157,OK,,140,13.5095211,127,123.6,127,49.6733057,2.54315,0.516075818,0.003170079,0.032357688,0.938413082,0.097969896,0.973228346
158,OK,,140,13.5095211,130,123.6,130,50.8466908,2.03890179,0.666347128,0.004069473,0.025836543,0.946795969,0.15750842,0.950769231
159,OK,,140,13.5095211,133,123.6,133,52.020076,1.55745329,0.868204782,0.005269722,0.019644559,0.953370732,0.268253493,0.929323308
160,OK,,140,13.5095211,136,123.6,136,53.1934612,1.10579304,1.13722278,0.006857547,0.013873698,0.957832866,0.494284022,0.908823529
161,OK,,140,13.5095211,139,123.6,139,54.3668464,0.703691052,1.51136225,0.009049642,0.008772758,0.959257278,1.03156183,0.889208633
162,OK,,140,13.5095211,142,123.6,142,55.5402315,0.371911512,2.02248999,0.012017947,0.004600632,0.956888882,2.61223804,0.870422535
163,OK,,140,13.5095211,145,123.6,145,56.7136167,0.134551403,2.72266936,0.016043455,0.00164852,0.949620198,9.73203593,0.852413793
164,OK,,140,13.5095211,148,123.6,148,57.8870019,0.014617732,3.67369388,0.021447434,0.000176991,0.936284287,121.178377,0.835135135
165,OK,,140,13.5095211,151,123.6,151,59.0603871,0.001574343,4.83316291,0.027931049,1.88E-05,0.918139086,1485.68384,0.818543046
166,OK,,140,13.5095211,154,123.6,154,60.2337722,0.000622736,6.04531242,0.034581694,7.33E-06,0.899625494,4715.25416,0.802597403
167,OK,,140,13.5095211,157,123.6,157,61.4071574,0.000355444,7.2410691,0.04100076,4.13E-06,0.882075236,9930.34886,0.787261146
168,OK,,140,13.5095211,160,123.6,160,62.5805426,0.000216997,8.43179858,0.047255529,2.49E-06,0.865261386,19005.5571,0.7725
169,OK,,140,13.9985684,121,123.6,121,47.3265353,3.7057546,0.308890544,0.00191186,0.047311465,0.91517137,0.040410076,1.0214876
170,OK,,140,13.9985684,124,123.6,124,48.4999205,3.16783194,0.392447812,0.002416596,0.040316876,0.92659205,0.059940071,0.996774194
171,OK,,140,13.9985684,127,123.6,127,49.6733057,2.64314741,0.501627003,0.003072183,0.033520836,0.936690857,0.091649956,0.973228346
172,OK,,140,13.9985684,130,123.6,130,50.8466908,2.13248931,0.646534166,0.003937026,0.026938628,0.945345047,0.146147995,0.950769231
173,OK,,140,13.9985684,133,123.6,133,52.020076,1.64972376,0.838323664,0.005073946,0.020745084,0.9521714,0.244585468,0.929323308
174,OK,,140,13.9985684,136,123.6,136,53.1934612,1.18885425,1.09537109,0.006587066,0.01487342,0.957058156,0.442875004,0.908823529
175,OK,,140,13.9985684,139,123.6,139,54.3668464,0.783147746,1.44447366,0.008626372,0.009736739,0.959026106,0.885961089,0.889208633
176,OK,,140,13.9985684,142,123.6,142,55.5402315,0.43071571,1.93534799,0.011469419,0.005313541,0.957399103,2.15852652,0.870422535
177,OK,,140,13.9985684,145,123.6,145,56.7136167,0.172962564,2.59790589,0.015272457,0.00211509,0.951142801,7.22071401,0.852413793
178,OK,,140,13.9985684,148,123.6,148,57.8870019,0.028690177,3.4954235,0.020357652,0.000346778,0.939120812,58.7052002,0.835135135
179,OK,,140,13.9985684,151,123.6,151,59.0603871,0.001677599,4.61390891,0.026611993,2.00E-05,0.921849708,1329.85798,0.818543046
180,OK,,140,13.9985684,154,123.6,154,60.2337722,0.000724248,5.82929838,0.033282325,8.52E-06,0.903210069,3906.22843,0.802597403
181,OK,,140,13.9985684,157,123.6,157,61.4071574,0.001445372,7.03627618,0.0397653,1.68E-05,0.885392488,2371.06596,0.787261146
182,OK,,140,13.9985684,160,123.6,160,62.5805426,0.000242958,8.23557858,0.046069338,2.78E-06,0.86839645,16565.9549,0.7725
183,OK,,140,14.4876158,121,123.6,121,47.3265353,3.80776463,0.301117148,0.001858044,0.048452007,0.913180169,0.038348142,1.0214876
184,OK,,140,14.4876158,124,123.6,124,48.4999205,3.27303443,0.382447123,0.002347888,0.041515795,0.924629123,0.056554079,0.996774194
185,OK,,140,14.4876158,127,123.6,127,49.6733057,2.7410321,0.488411471,0.002982389,0.034650822,0.934986337,0.086069786,0.973228346
186,OK,,140,14.4876158,130,123.6,130,50.8466908,2.23007783,0.626926755,0.003806535,0.028082159,0.943811396,0.135549941,0.950769231
187,OK,,140,14.4876158,133,123.6,133,52.020076,1.73580619,0.812873044,0.004906002,0.021763483,0.951005853,0.225423578,0.929323308
188,Errors,,140,14.4876158,136,123.6,136,53.1934612,1.24274789,1.07362916,0.006435038,0.015523376,0.956453726,0.414538571,0.908823529
189,OK,,140,14.4876158,139,123.6,139,54.3668464,0.855468828,1.39038939,0.00828138,0.01060809,0.958690666,0.780666415,0.889208633
