HEATER2_output_T_SP,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
140,11.0642842,153.842105,123.6,153.842105,60.1720151,0.00031863,7.0371263,0.040672183,3.78E-06,83.6,1.672195,0.040675959
140,11.0642842,155.894737,123.6,155.894737,60.9748576,0.000218291,7.84764097,0.04503357,2.56E-06,83.6,1.672195,0.045036132
140,11.0642842,157.947368,123.6,157.947368,61.7777001,0.000154951,8.74151863,0.04977649,1.80E-06,83.6,1.672195,0.04977829
140,11.0642842,160,123.6,160,62.5805426,0.000117704,9.51229561,0.05379888,1.36E-06,83.6,1.672195,0.053800235
140,11.5533316,121,123.6,121,47.3265353,3.21408026,0.345513193,0.002171615,0.041715634,83.6,1.672195,0.043887248
140,11.5533316,123.052632,123.6,123.052632,48.1293778,2.84390754,0.411336321,0.002575953,0.036830628,83.6,1.672195,0.03940658
140,11.5533316,125.105263,123.6,125.105263,48.9322203,2.48002627,0.491671099,0.003067421,0.032041983,83.6,1.672195,0.035109404
140,11.5533316,127.157895,123.6,127.157895,49.7350628,2.1379958,0.586766224,0.003646208,0.027544639,83.6,1.672195,0.031190847
140,11.5533316,129.210526,123.6,129.210526,50.5379053,1.79761878,0.705765083,0.004367662,0.023091291,83.6,1.672195,0.027458954
140,11.5533316,131.263158,123.6,131.263158,51.3407478,1.47046231,0.852773341,0.005254788,0.018827284,83.6,1.672195,0.024082072
140,11.5533316,133.315789,123.6,133.315789,52.1435902,1.16019114,1.03540766,0.006351505,0.014800616,83.6,1.672195,0.021152121
140,11.5533316,135.368421,123.6,135.368421,52.9464327,0.876184621,1.25932885,0.007688617,0.011130752,83.6,1.672195,0.018819369
140,11.5533316,137.421053,123.6,137.421053,53.7492752,0.614555288,1.53445396,0.009321854,0.007770685,83.6,1.672195,0.017092538
140,11.5533316,139.473684,123.6,139.473684,54.5521177,0.38691811,1.89382575,0.011444119,0.004866078,83.6,1.672195,0.016310197
140,11.5533316,141.526316,123.6,141.526316,55.3549602,0.207308887,2.32746796,0.013985465,0.00259075,83.6,1.672195,0.016576215
140,11.5533316,143.578947,123.6,143.578947,56.1578027,0.078072774,2.88697304,0.01724239,0.000968603,83.6,1.672195,0.018210994
140,11.5533316,145.631579,123.6,145.631579,56.9606452,0.012240061,3.57026159,0.021184451,0.00015057,83.6,1.672195,0.021335021
140,11.5533316,147.684211,123.6,147.684211,57.7634877,0.001638539,4.35235674,0.025647433,2.00E-05,83.6,1.672195,0.025667398
140,11.5533316,149.736842,123.6,149.736842,58.5663301,0.000871918,5.17388893,0.030274143,1.05E-05,83.6,1.672195,0.030284665
