Row/Case,Status,Description,"VARY   1
HEATER2 
PARAM   
TEMP    

C       
","VARY   2
AIR2    
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","VARY   3
ACIDGAS 
MIXED   
TOTAL MO
LEFLOW  
KMOL/HR 
","AIRFLOW 




KMOL/HR 
","ACIDGAS 




KMOL/HR 
","H2S     




KMOL/HR 
","SO2OUT  




KMOL/HR 
","H2SOUT  




KMOL/HR 
","H2SMF   





","SO2MF   





","ACIDTEMP




C       
","ACIDPRES




BAR     
"
120,OK,,145.128205,17.4219,170,123.6,170,66.4918265,0.000171727,10.7674618,0.0574961,1.87E-06,83.6,1.6722
121,OK,,147.692308,8.13,170,123.6,170,66.4918265,0,14.8774731,0.081981869,0,83.6,1.6722
122,OK,,147.692308,8.36825385,170,123.6,170,66.4918265,3.05E-05,14.7581488,0.081266347,3.37E-07,83.6,1.6722
123,OK,,147.692308,8.60650769,170,123.6,170,66.4918265,3.17E-05,14.6718864,0.080710379,3.50E-07,83.6,1.6722
124,OK,,147.692308,8.84476154,170,123.6,170,66.4918265,3.34E-05,14.5503176,0.079998796,3.69E-07,83.6,1.6722
125,OK,,147.692308,9.08301538,170,123.6,170,66.4918265,3.48E-05,14.4613302,0.079442234,3.84E-07,83.6,1.6722
126,OK,,147.692308,9.32126923,170,123.6,170,66.4918265,3.66E-05,14.3469385,0.078754157,4.04E-07,83.6,1.6722
127,OK,,147.692308,9.55952308,170,123.6,170,66.4918265,3.85E-05,14.2273917,0.078041884,4.25E-07,83.6,1.6722
128,OK,,147.692308,9.79777692,170,123.6,170,66.4918265,3.97E-05,14.1644407,0.077609498,4.37E-07,83.6,1.6722
129,OK,,147.692308,10.0360308,170,123.6,170,66.4918265,4.26E-05,14.0070313,0.076712411,4.69E-07,83.6,1.6722
130,OK,,147.692308,10.2742846,170,123.6,170,66.4918265,4.25E-05,14.0004899,0.076566103,4.68E-07,83.6,1.6722
131,OK,,147.692308,10.5125385,170,123.6,170,66.4918265,4.63E-05,13.8196107,0.075555315,5.10E-07,83.6,1.6722
132,OK,,147.692308,10.7507923,170,123.6,170,66.4918265,4.70E-05,13.7851953,0.075261896,5.17E-07,83.6,1.6722
133,OK,,147.692308,10.9890462,170,123.6,170,66.4918265,5.05E-05,13.6283036,0.074389414,5.56E-07,83.6,1.6722
134,OK,,147.692308,11.2273,170,123.6,170,66.4918265,5.37E-05,13.4942211,0.073607855,5.90E-07,83.6,1.6722
135,OK,,147.692308,11.4655538,170,123.6,170,66.4918265,0,13.3949529,0.073006316,0,83.6,1.6722
136,OK,,147.692308,11.7038077,170,123.6,170,66.4918265,0,13.2883688,0.07236746,0,83.6,1.6722
137,OK,,147.692308,11.9420615,170,123.6,170,66.4918265,6.21E-05,13.1744936,0.07169201,6.83E-07,83.6,1.6722
138,OK,,147.692308,12.1803154,170,123.6,170,66.4918265,6.56E-05,13.0560321,0.070993597,7.20E-07,83.6,1.6722
139,OK,,147.692308,12.4185692,170,123.6,170,66.4918265,6.84E-05,12.9641684,0.07043196,7.50E-07,83.6,1.6722
140,OK,,147.692308,12.6568231,170,123.6,170,66.4918265,7.19E-05,12.8579209,0.069800477,7.89E-07,83.6,1.6722
141,OK,,147.692308,12.8950769,170,123.6,170,66.4918265,5.90E-05,12.7740931,0.069281193,6.47E-07,83.6,1.6722
142,OK,,147.692308,13.1333308,170,123.6,170,66.4918265,0.000129146,12.6846609,0.068740959,1.42E-06,83.6,1.6722
143,OK,,147.692308,13.3715846,170,123.6,170,66.4918265,8.16E-05,12.5864635,0.068150374,8.94E-07,83.6,1.6722
144,OK,,147.692308,13.6098385,170,123.6,170,66.4918265,8.74E-05,12.4316759,0.067271381,9.58E-07,83.6,1.6722
145,OK,,147.692308,13.8480923,170,123.6,170,66.4918265,9.21E-05,12.3334558,0.066684084,1.01E-06,83.6,1.6722
146,OK,,147.692308,14.0863462,170,123.6,170,66.4918265,9.46E-05,12.2633389,0.066230544,1.04E-06,83.6,1.6722
147,OK,,147.692308,14.3246,170,123.6,170,66.4918265,0.000102763,12.0873445,0.065253361,1.12E-06,83.6,1.6722
148,OK,,147.692308,14.5628538,170,123.6,170,66.4918265,0.000106275,12.0174226,0.064816936,1.16E-06,83.6,1.6722
149,OK,,147.692308,14.8011077,170,123.6,170,66.4918265,0.000111117,11.9235833,0.064256118,1.21E-06,83.6,1.6722
150,OK,,147.692308,15.0393615,170,123.6,170,66.4918265,0.00011707,11.8135157,0.06361227,1.28E-06,83.6,1.6722
151,OK,,147.692308,15.2776154,170,123.6,170,66.4918265,0.000123004,11.7096701,0.063000963,1.34E-06,83.6,1.6722
152,OK,,147.692308,15.5158692,170,123.6,170,66.4918265,0.000131314,11.5964519,0.062334437,1.43E-06,83.6,1.6722
153,OK,,147.692308,15.7541231,170,123.6,170,66.4918265,0.000136681,11.5136102,0.061834086,1.49E-06,83.6,1.6722
154,OK,,147.692308,15.9923769,170,123.6,170,66.4918265,0,11.3931461,0.061139452,0,83.6,1.6722
155,OK,,147.692308,16.2306308,170,123.6,170,66.4918265,0.000152827,11.2812126,0.060490998,1.67E-06,83.6,1.6722
156,OK,,147.692308,16.4688846,170,123.6,170,66.4918265,0.000158805,11.2024263,0.060013654,1.73E-06,83.6,1.6722
157,OK,,147.692308,16.7071385,170,123.6,170,66.4918265,0.000170166,11.0590094,0.059203107,1.85E-06,83.6,1.6722
158,OK,,147.692308,16.9453923,170,123.6,170,66.4918265,0.000178016,10.9668484,0.058660078,1.94E-06,83.6,1.6722
159,OK,,147.692308,17.1836462,170,123.6,170,66.4918265,0.00018102,10.9320417,0.058380734,1.97E-06,83.6,1.6722
160,OK,,147.692308,17.4219,170,123.6,170,66.4918265,0.000196197,10.7675107,0.057496354,2.13E-06,83.6,1.6722
161,OK,,150.25641,8.13,170,123.6,170,66.4918265,0,14.8772639,0.081980717,0,83.6,1.6722
162,OK,,150.25641,8.36825385,170,123.6,170,66.4918265,3.51E-05,14.758158,0.081266395,3.88E-07,83.6,1.6722
163,OK,,150.25641,8.60650769,170,123.6,170,66.4918265,3.64E-05,14.671896,0.080710429,4.03E-07,83.6,1.6722
164,OK,,150.25641,8.84476154,170,123.6,170,66.4918265,3.84E-05,14.5503276,0.079998849,4.25E-07,83.6,1.6722
165,OK,,150.25641,9.08301538,170,123.6,170,66.4918265,4.00E-05,14.4613406,0.079442289,4.42E-07,83.6,1.6722
166,OK,,150.25641,9.32126923,170,123.6,170,66.4918265,4.20E-05,14.3469495,0.078754215,4.64E-07,83.6,1.6722
167,OK,,150.25641,9.55952308,170,123.6,170,66.4918265,4.43E-05,14.2274033,0.078041945,4.89E-07,83.6,1.6722
168,OK,,150.25641,9.79777692,170,123.6,170,66.4918265,4.56E-05,14.1644526,0.07760956,5.03E-07,83.6,1.6722
169,OK,,150.25641,10.0360308,170,123.6,170,66.4918265,4.89E-05,14.007044,0.076712477,5.39E-07,83.6,1.6722
